epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.618655,2.71569,4.37646,2.65433,0.01818,1,0.02117,0.01059,0.74739,3.92723,2.29413,0,0,0
2,1.19145,3.3631,4.10104,3.02321,0.01562,1,0.02211,0.01106,0.92481,4.13611,2.47592,8.02e-06,8.02e-06,8.02e-06
3,1.71488,2.35916,4.15101,2.30399,0.01562,1,0.02211,0.01106,0.92481,4.13611,2.47592,1.208e-05,1.208e-05,1.208e-05
4,2.31725,2.91481,4.14316,2.66958,0,0,0,0,2.1339,4.46328,3.37657,1.218e-05,1.218e-05,1.218e-05
5,2.84686,1.89231,3.63861,2.13839,0,0,0,0,2.1339,4.46328,3.37657,8.32e-06,8.32e-06,8.32e-06
